Timestamp,Milliseconds,Millibars
2020-07-10 22:37:59,1,1007.3247
2020-07-10 22:37:59,11,1007.32007
2020-07-10 22:37:59,21,1007.32007
2020-07-10 22:37:59,31,1007.32007
2020-07-10 22:37:59,41,1007.32007
2020-07-10 22:37:59,52,1007.32007
2020-07-10 22:37:59,61,1007.3208
2020-07-10 22:37:59,71,1007.3208
2020-07-10 22:37:59,81,1007.3208
2020-07-10 22:37:59,91,1007.3208
2020-07-10 22:37:59,101,1007.3208
2020-07-10 22:37:59,112,1007.3208
2020-07-10 22:37:59,121,1007.3208
2020-07-10 22:37:59,131,1007.3208
2020-07-10 22:37:59,141,1007.3208
2020-07-10 22:37:59,151,1007.3208
2020-07-10 22:37:59,162,1007.313
2020-07-10 22:37:59,171,1007.313
2020-07-10 22:37:59,181,1007.313
2020-07-10 22:37:59,191,1007.313
2020-07-10 22:37:59,201,1007.313
2020-07-10 22:37:59,212,1007.313
2020-07-10 22:37:59,221,1007.313
2020-07-10 22:37:59,231,1007.313
2020-07-10 22:37:59,241,1007.313
2020-07-10 22:37:59,251,1007.313
2020-07-10 22:37:59,262,1007.32007
2020-07-10 22:37:59,271,1007.32007
2020-07-10 22:37:59,281,1007.32007
2020-07-10 22:37:59,291,1007.32007
2020-07-10 22:37:59,301,1007.32007
2020-07-10 22:37:59,311,1007.32007
2020-07-10 22:37:59,321,1007.32007
2020-07-10 22:37:59,331,1007.32007
2020-07-10 22:37:59,342,1007.32007
2020-07-10 22:38:00,351,1007.32007
2020-07-10 22:38:00,361,1007.3252
2020-07-10 22:38:00,371,1007.3252
2020-07-10 22:38:00,381,1007.3252
2020-07-10 22:38:00,391,1007.3252
2020-07-10 22:38:00,401,1007.3252
2020-07-10 22:38:00,412,1007.3252
2020-07-10 22:38:00,421,1007.3252
2020-07-10 22:38:00,431,1007.3252
2020-07-10 22:38:00,441,1007.3252
2020-07-10 22:38:00,452,1007.3252
2020-07-10 22:38:00,461,1007.3213
2020-07-10 22:38:00,471,1007.3213
2020-07-10 22:38:00,482,1007.3213
2020-07-10 22:38:00,491,1007.3213
2020-07-10 22:38:00,502,1007.3213
2020-07-10 22:38:00,511,1007.3213
2020-07-10 22:38:00,525,1007.3213
2020-07-10 22:38:00,531,1007.3213
2020-07-10 22:38:00,542,1007.3213
2020-07-10 22:38:00,551,1007.3213
2020-07-10 22:38:00,561,1007.3191
2020-07-10 22:38:00,571,1007.3191
2020-07-10 22:38:00,581,1007.3191
2020-07-10 22:38:00,592,1007.3191
2020-07-10 22:38:00,601,1007.3191
2020-07-10 22:38:00,611,1007.3191
2020-07-10 22:38:00,622,1007.3191
2020-07-10 22:38:00,631,1007.3191
2020-07-10 22:38:00,641,1007.3191
2020-07-10 22:38:00,651,1007.3191
2020-07-10 22:38:00,661,1007.3198
2020-07-10 22:38:00,672,1007.3198
2020-07-10 22:38:00,681,1007.3198
2020-07-10 22:38:00,691,1007.3198
2020-07-10 22:38:00,702,1007.3198
2020-07-10 22:38:00,711,1007.3198
2020-07-10 22:38:00,722,1007.3198
2020-07-10 22:38:00,731,1007.3198
2020-07-10 22:38:00,742,1007.3198
2020-07-10 22:38:00,751,1007.3198
2020-07-10 22:38:00,762,1007.3086
2020-07-10 22:38:00,771,1007.3086
2020-07-10 22:38:00,781,1007.3086
2020-07-10 22:38:00,792,1007.3086
2020-07-10 22:38:00,801,1007.3086
2020-07-10 22:38:00,811,1007.3086
2020-07-10 22:38:00,822,1007.3086
2020-07-10 22:38:00,831,1007.3086
2020-07-10 22:38:00,842,1007.3086
2020-07-10 22:38:00,851,1007.3086
2020-07-10 22:38:00,862,1007.2893
2020-07-10 22:38:00,871,1007.2893
2020-07-10 22:38:00,881,1007.2893
2020-07-10 22:38:00,892,1007.2893
2020-07-10 22:38:00,901,1007.2893
2020-07-10 22:38:00,911,1007.2893
2020-07-10 22:38:00,922,1007.2893
2020-07-10 22:38:00,932,1007.2893
2020-07-10 22:38:00,941,1007.2893
2020-07-10 22:38:00,951,1007.2893
2020-07-10 22:38:00,961,1007.2754
2020-07-10 22:38:00,972,1007.2754
2020-07-10 22:38:00,981,1007.2754
2020-07-10 22:38:00,992,1007.2754
2020-07-10 22:38:00,1001,1007.2754
2020-07-10 22:38:00,1012,1007.2754
2020-07-10 22:38:00,1021,1007.2754
2020-07-10 22:38:00,1031,1007.2754
2020-07-10 22:38:00,1042,1007.2754
2020-07-10 22:38:00,1051,1007.2754
2020-07-10 22:38:00,1061,1007.26855
2020-07-10 22:38:00,1071,1007.26855
2020-07-10 22:38:00,1082,1007.26855
2020-07-10 22:38:00,1091,1007.26855
2020-07-10 22:38:00,1102,1007.26855
2020-07-10 22:38:00,1111,1007.26855
2020-07-10 22:38:00,1121,1007.26855
2020-07-10 22:38:00,1131,1007.26855
2020-07-10 22:38:00,1142,1007.26855
2020-07-10 22:38:00,1151,1007.26855
2020-07-10 22:38:00,1162,1007.27026
2020-07-10 22:38:00,1171,1007.27026
2020-07-10 22:38:00,1181,1007.27026
2020-07-10 22:38:00,1192,1007.27026
2020-07-10 22:38:00,1201,1007.27026
2020-07-10 22:38:00,1211,1007.27026
2020-07-10 22:38:00,1222,1007.27026
2020-07-10 22:38:00,1231,1007.27026
2020-07-10 22:38:00,1241,1007.27026
2020-07-10 22:38:00,1252,1007.27026
2020-07-10 22:38:00,1261,1007.26807
2020-07-10 22:38:00,1271,1007.26807
2020-07-10 22:38:00,1281,1007.26807
2020-07-10 22:38:00,1292,1007.26807
2020-07-10 22:38:00,1301,1007.26807
2020-07-10 22:38:00,1311,1007.26807
2020-07-10 22:38:00,1321,1007.26807
2020-07-10 22:38:00,1331,1007.26807
2020-07-10 22:38:00,1342,1007.26807
2020-07-10 22:38:01,1351,1007.26807
2020-07-10 22:38:01,1361,1007.27344
2020-07-10 22:38:01,1371,1007.27344
2020-07-10 22:38:01,1381,1007.27344
2020-07-10 22:38:01,1392,1007.27344
2020-07-10 22:38:01,1401,1007.27344
2020-07-10 22:38:01,1411,1007.27344
2020-07-10 22:38:01,1421,1007.27344
2020-07-10 22:38:01,1431,1007.27344
2020-07-10 22:38:01,1441,1007.27344
2020-07-10 22:38:01,1452,1007.27344
2020-07-10 22:38:01,1461,1007.28784
2020-07-10 22:38:01,1471,1007.28784
2020-07-10 22:38:01,1482,1007.28784
2020-07-10 22:38:01,1491,1007.28784
2020-07-10 22:38:01,1501,1007.28784
2020-07-10 22:38:01,1511,1007.28784
2020-07-10 22:38:01,1521,1007.28784
2020-07-10 22:38:01,1532,1007.28784
2020-07-10 22:38:01,1541,1007.28784
2020-07-10 22:38:01,1551,1007.28784
2020-07-10 22:38:01,1561,1007.2883
2020-07-10 22:38:01,1572,1007.2883
2020-07-10 22:38:01,1581,1007.2883
2020-07-10 22:38:01,1591,1007.2883
2020-07-10 22:38:01,1601,1007.2883
2020-07-10 22:38:01,1612,1007.2883
2020-07-10 22:38:01,1621,1007.2883
2020-07-10 22:38:01,1631,1007.2883
2020-07-10 22:38:01,1641,1007.2883
2020-07-10 22:38:01,1652,1007.2883
2020-07-10 22:38:01,1661,1007.2859
2020-07-10 22:38:01,1671,1007.2859
2020-07-10 22:38:01,1681,1007.2859
2020-07-10 22:38:01,1692,1007.2859
2020-07-10 22:38:01,1701,1007.2859
2020-07-10 22:38:01,1711,1007.2859
